29780, 102B, -0.6225, -0.827469, 1.58634, 111.24, 30.75, 43.69, 2.072, 1.855, 1.754, 1.92755, 0
29780, 101A, -0.355966, -1.22329, 1.40271, 111.24, 30.75, 43.69, 2.073, 1.855, 1.754, 1.92755, 0
29781, 101B, -0.355966, -0.909733, 1.58956, 111.24, 30.75, 43.69, 2.073, 1.855, 1.754, 1.92755, 0
29790, 102A, -0.570312, -0.86955, 1.58854, 111.24, 30.75, 43.69, 2.073, 1.855, 1.762, 1.92755, 0
29799, 102B, -0.570312, -0.86955, 1.58854, 111.24, 30.75, 43.69, 2.073, 1.855, 1.762, 1.93555, 0
29813, 101A, -0.328497, -1.25888, 1.3873, 109.92, 32.06, 37.66, 2.079, 1.855, 1.762, 1.93555, 0
29822, 101B, -0.252844, -0.913687, 1.59968, 109.92, 32.06, 37.66, 2.079, 1.834, 1.762, 1.93555, 0
29830, 102A, -0.564469, -0.95387, 1.54101, 109.92, 32.06, 37.66, 2.079, 1.834, 1.754, 1.93555, 0
29843, 102B, -0.564469, -0.95387, 1.54101, 109.72, 32.08, 35.8, 2.079, 1.834, 1.754, 1.96355, 0
29851, 101A, -0.280312, -1.42909, 1.22604, 109.72, 32.08, 35.8, 2.089, 1.834, 1.754, 1.96355, 0
29861, 101B, -0.621888, -1.10979, 1.43834, 109.72, 32.08, 35.8, 2.089, 1.927, 1.754, 1.96324, 0
29883, 102A, -0.498586, -0.93264, 1.60239, 109.72, 32.08, 35.8, 2.089, 1.927, 1.789, 1.96355, 0
29885, 102B, -0.498586, -0.93264, 1.60239, 109.72, 32.08, 35.8, 2.089, 1.927, 1.789, 1.97255, 0
29899, 101A, -0.500789, -0.863936, 1.63278, 108.55, 31.96, 32.61, 2.078, 1.927, 1.789, 1.97255, 0
29914, 101B, -0.523406, -0.983232, 1.57346, 108.55, 31.96, 32.61, 2.078, 1.933, 1.789, 1.97255, 0
29916, 102A, -0.419239, -0.781714, 1.71663, 108.55, 31.96, 32.61, 2.078, 1.933, 1.828, 1.97255, 0
29930, 102B, -0.419239, -0.781714, 1.71663, 108.55, 31.96, 32.61, 2.078, 1.933, 1.828, 1.97555, 0
29933, 101A, -0.38565, -1.02833, 1.6114, 107.78, 31.62, 31.29, 2.111, 1.933, 1.828, 1.97555, 0
29948, 101B, -0.251001, -0.79863, 1.71833, 107.23, 30.73, 31.2, 2.111, 1.897, 1.828, 1.97555, 0
29952, 102A, -0.542672, -0.855909, 1.66002, 107.23, 30.73, 31.2, 2.111, 1.897, 1.817, 1.97555, 0
29965, 102B, -0.542672, -0.855909, 1.66002, 107.2, 29.89, 31.52, 2.111, 1.897, 1.817, 2.00955, 0
29980, 101A, -0.290156, -1.18315, 1.51127, 107.2, 29.89, 31.52, 2.104, 1.897, 1.817, 2.00955, 0
29984, 101B, -0.531281, -1.04942, 1.56879, 107.31, 28.87, 31.86, 2.104, 1.961, 1.817, 2.00955, 0
30004, 102A, -0.381577, -0.965989, 1.64877, 107.31, 28.87, 31.86, 2.104, 1.961, 1.833, 2.00955, 0
30004, 102B, -0.381577, -0.965989, 1.64877, 107.31, 28.87, 31.86, 2.104, 1.961, 1.833, 2.02755, 0
30030, 101A, -0.47425, -1.02425, 1.60967, 107.31, 28.87, 31.86, 2.136, 1.961, 1.833, 2.02755, 0
30030, 101B, -0.555112, -1.06977, 1.57156, 107.31, 28.87, 31.86, 2.136, 1.982, 1.833, 2.02755, 0
30032, 102A, -0.443131, -1.01726, 1.62857, 107.31, 28.87, 31.86, 2.136, 1.982, 1.843, 2.02755, 0
30045, 102B, -0.443131, -1.01726, 1.62857, 107.32, 27.82, 31.84, 2.136, 1.982, 1.843, 2.01355, 0
30049, 101A, -0.519214, -0.961001, 1.64608, 107.32, 27.82, 31.84, 2.145, 1.982, 1.843, 2.01355, 0
30058, 101B, -0.523086, -0.936457, 1.65695, 107.32, 27.82, 31.84, 2.145, 1.983, 1.843, 2.01355, 0
30067, 102A, -0.535992, -0.841212, 1.71496, 107.32, 27.82, 31.84, 2.145, 1.983, 1.861, 2.01324, 0
30076, 102B, -0.535992, -0.841212, 1.71496, 106.81, 26.16, 31.22, 2.145, 1.983, 1.861, 2.00355, 0
30088, 101A, -0.457977, -0.9064, 1.69929, 106.51, 25.45, 31.04, 2.137, 1.983, 1.861, 2.00355, 0
30096, 101B, -0.535828, -0.783841, 1.73618, 106.33, 24.66, 31.22, 2.137, 2.003, 1.861, 2.00355, 0
30106, 102A, -0.541758, -0.815691, 1.71723, 106.25, 23.93, 31.66, 2.137, 2.003, 1.855, 2.00324, 0
30115, 102B, -0.541758, -0.815691, 1.71723, 106.25, 23.93, 31.66, 2.137, 2.003, 1.855, 2.04755, 0
30124, 101A, -0.557602, -1.00796, 1.6298, 106.25, 23.93, 31.66, 2.172, 2.003, 1.855, 2.04755, 0
30143, 101B, -0.612562, -1.07026, 1.58505, 106.25, 23.93, 31.66, 2.172, 2.017, 1.855, 2.04755, 0
30143, 102A, -0.515014, -0.82344, 1.76812, 106.25, 23.93, 31.66, 2.172, 2.017, 1.901, 2.04755, 0
30161, 102B, -0.515014, -0.82344, 1.76812, 106.2, 23.21, 32.15, 2.172, 2.017, 1.901, 2.06355, 0
30162, 101A, -0.443836, -1.00848, 1.69818, 106.2, 23.21, 32.15, 2.185, 2.017, 1.901, 2.06355, 0
30175, 101B, -0.487288, -0.917383, 1.7347, 106.2, 23.21, 32.15, 2.185, 2.028, 1.901, 2.06355, 0
